Algorithm,Instance,Instance Size,Run,Final Value,Deviation
ils,data/Benchmarks/ta056,50,1,121934,1.1178743801104607
ils,data/Benchmarks/ta056,50,2,121891,1.0822151825253348
ils,data/Benchmarks/ta056,50,3,122016,1.185875640621631
ils,data/Benchmarks/ta056,50,4,121482,0.7430381636342527
ils,data/Benchmarks/ta056,50,5,122055,1.2182177035476756
ils,data/Benchmarks/ta056,50,6,122025,1.1933391936045643
ils,data/Benchmarks/ta056,50,7,122035,1.201632030252268
ils,data/Benchmarks/ta056,50,8,121586,0.8292836647703713
ils,data/Benchmarks/ta056,50,9,121404,0.6783540377821637
ils,data/Benchmarks/ta056,50,10,121802,1.0084089363607716
genetic,data/Benchmarks/ta056,50,1,121602,0.8425522034066972
genetic,data/Benchmarks/ta056,50,2,121684,0.9105534639178677
genetic,data/Benchmarks/ta056,50,3,121779,0.989335412071053
genetic,data/Benchmarks/ta056,50,4,121836,1.0366045809629643
genetic,data/Benchmarks/ta056,50,5,121724,0.9437248105086825
genetic,data/Benchmarks/ta056,50,6,121896,1.0863616008491865
genetic,data/Benchmarks/ta056,50,7,122131,1.2812432620702239
genetic,data/Benchmarks/ta056,50,8,121329,0.6161577629243858
genetic,data/Benchmarks/ta056,50,9,121719,0.9395783921848307
genetic,data/Benchmarks/ta056,50,10,121711,0.9329441228666678
ils,data/Benchmarks/ta058,50,1,123958,1.1992913649388925
ils,data/Benchmarks/ta058,50,2,123799,1.0694837903811771
ils,data/Benchmarks/ta058,50,3,123977,1.2148029618986196
ils,data/Benchmarks/ta058,50,4,124031,1.2588885532578435
ils,data/Benchmarks/ta058,50,5,123708,0.9951914049424847
ils,data/Benchmarks/ta058,50,6,123278,0.6441394737486631
ils,data/Benchmarks/ta058,50,7,123543,0.8604854313448553
ils,data/Benchmarks/ta058,50,8,124040,1.2662361518177143
ils,data/Benchmarks/ta058,50,9,124121,1.3323645388565504
ils,data/Benchmarks/ta058,50,10,123912,1.1617369722995534
genetic,data/Benchmarks/ta058,50,1,123536,0.8547706324649561
genetic,data/Benchmarks/ta058,50,2,123686,0.9772306084628007
genetic,data/Benchmarks/ta058,50,3,123404,0.7470058535868527
genetic,data/Benchmarks/ta058,50,4,123977,1.2148029618986196
genetic,data/Benchmarks/ta058,50,5,123137,0.5290270963106891
genetic,data/Benchmarks/ta058,50,6,124239,1.4286997199748548
genetic,data/Benchmarks/ta058,50,7,124421,1.5772844908522397
genetic,data/Benchmarks/ta058,50,8,123612,0.9168170203038639
genetic,data/Benchmarks/ta058,50,9,122853,0.29716954175476984
genetic,data/Benchmarks/ta058,50,10,123487,0.8147670403056602
ils,data/Benchmarks/ta052,50,1,120574,1.112816255335564
ils,data/Benchmarks/ta052,50,2,120295,0.8788481051934219
ils,data/Benchmarks/ta052,50,3,120682,1.203384571519619
ils,data/Benchmarks/ta052,50,4,120669,1.1924828297567236
ils,data/Benchmarks/ta052,50,5,120343,0.9191006901641131
ils,data/Benchmarks/ta052,50,6,120659,1.1840968745544962
ils,data/Benchmarks/ta052,50,7,120516,1.0641777151626457
ils,data/Benchmarks/ta052,50,8,120525,1.0717250748446503
ils,data/Benchmarks/ta052,50,9,120221,0.81679203669694
ils,data/Benchmarks/ta052,50,10,120116,0.7287395070735533
genetic,data/Benchmarks/ta052,50,1,120027,0.6541045057737301
genetic,data/Benchmarks/ta052,50,2,120842,1.3375598547552559
genetic,data/Benchmarks/ta052,50,3,120353,0.9274866453663405
genetic,data/Benchmarks/ta052,50,4,119699,0.3790451751406744
genetic,data/Benchmarks/ta052,50,5,120409,0.9744479944988134
genetic,data/Benchmarks/ta052,50,6,120522,1.069209288283982
genetic,data/Benchmarks/ta052,50,7,120480,1.0339882764346273
genetic,data/Benchmarks/ta052,50,8,120041,0.6658448430568483
genetic,data/Benchmarks/ta052,50,9,120304,0.8863954648754266
genetic,data/Benchmarks/ta052,50,10,120383,0.9526445109730225
ils,data/Benchmarks/ta057,50,1,124575,1.37939453125
ils,data/Benchmarks/ta057,50,2,124479,1.30126953125
ils,data/Benchmarks/ta057,50,3,124682,1.4664713541666667
ils,data/Benchmarks/ta057,50,4,124503,1.32080078125
ils,data/Benchmarks/ta057,50,5,124249,1.1140950520833333
ils,data/Benchmarks/ta057,50,6,124200,1.07421875
ils,data/Benchmarks/ta057,50,7,124303,1.1580403645833333
ils,data/Benchmarks/ta057,50,8,124429,1.2605794270833333
ils,data/Benchmarks/ta057,50,9,124296,1.15234375
ils,data/Benchmarks/ta057,50,10,124196,1.0709635416666667
genetic,data/Benchmarks/ta057,50,1,124301,1.1564127604166667
genetic,data/Benchmarks/ta057,50,2,124144,1.0286458333333333
genetic,data/Benchmarks/ta057,50,3,124646,1.4371744791666667
genetic,data/Benchmarks/ta057,50,4,124273,1.1336263020833333
