Algorithm,Instance,Instance Size,Run,Final Value,Deviation
ils,data/Benchmarks/ta058,50,1,123448,0.7829274465462204
ils,data/Benchmarks/ta058,50,2,123732,1.0147850011021398
ils,data/Benchmarks/ta058,50,3,124127,1.3372629378964642
ils,data/Benchmarks/ta058,50,4,124016,1.2466425556580591
ils,data/Benchmarks/ta058,50,5,123833,1.0972413849406886
ils,data/Benchmarks/ta058,50,6,123599,0.9062038223840508
ils,data/Benchmarks/ta058,50,7,123801,1.0711165900611483
ils,data/Benchmarks/ta058,50,8,123593,0.901305423344137
ils,data/Benchmarks/ta058,50,9,123843,1.1054053833405448
ils,data/Benchmarks/ta058,50,10,123738,1.0196834001420536
genetic,data/Benchmarks/ta056,50,1,121361,0.6426948401970378
genetic,data/Benchmarks/ta056,50,2,121355,0.6377191382084156
genetic,data/Benchmarks/ta056,50,3,122042,1.2074370159056607
genetic,data/Benchmarks/ta056,50,4,121344,0.6285970178959415
genetic,data/Benchmarks/ta056,50,5,121993,1.1668021163319124
genetic,data/Benchmarks/ta056,50,6,121489,0.7488431492876454
genetic,data/Benchmarks/ta056,50,7,121705,0.9279684208780454
genetic,data/Benchmarks/ta056,50,8,121976,1.1527042940308163
genetic,data/Benchmarks/ta056,50,9,121465,0.7289403413331564
genetic,data/Benchmarks/ta056,50,10,121251,0.551473637072297
genetic,data/Benchmarks/ta058,50,1,123894,1.147041775179812
genetic,data/Benchmarks/ta058,50,2,123042,0.4514691115120541
genetic,data/Benchmarks/ta058,50,3,123746,1.0262145988619387
genetic,data/Benchmarks/ta058,50,4,123469,0.8000718431859187
genetic,data/Benchmarks/ta058,50,5,123474,0.8041538423858469
genetic,data/Benchmarks/ta058,50,6,123622,0.9249810187037204
genetic,data/Benchmarks/ta058,50,7,123956,1.1976585652589211
genetic,data/Benchmarks/ta058,50,8,122683,0.15838156895721248
genetic,data/Benchmarks/ta058,50,9,123728,1.0115194017421973
genetic,data/Benchmarks/ta058,50,10,123627,0.9290630179036484
ils,data/Benchmarks/ta056,50,1,122003,1.1750949529796162
ils,data/Benchmarks/ta056,50,2,121750,0.9652861857927122
ils,data/Benchmarks/ta056,50,3,121833,1.0341167299686531
ils,data/Benchmarks/ta056,50,4,121933,1.1170450964456902
ils,data/Benchmarks/ta056,50,5,121487,0.7471845819581046
ils,data/Benchmarks/ta056,50,6,122111,1.2646575887748164
